,,Urbain,Urbain,Urbain,Rural,Rural,Rural,Total,Total,Total,Quintile de bien-etre economique,Quintile de bien-etre economique,Quintile de bien-etre economique,Quintile de bien-etre economique,Quintile de bien-etre economique,Quintile de bien-etre economique
,,Masculin,Feminin,Total,Masculin,Feminin,Total,Masculin,Feminin,Total,Plus pauvre,2eme quintile,3eme quintile,4eme quintile,Plus riche,Ensemble
Region,Analamanga,"56,9","57,5","57,2","41,1","44,9","43,1","47,7","50,5","49,2","4,7","11,1","22,9","36,9","61,8","49,2"
Region,Vakinakaratra,"43,2","46,0","44,6","16,1","16,8","16,4","22,6","24,1","23,3","3,5","7,5","14,4","33,2","62,6","23,3"
Region,Itasy,"50,6","51,3","50,9","17,9","19,9","18,9","21,4","23,5","22,4","3,4","7,4","15,2","35,4","62,8","22,4"
Region,Bongolava,"46,8","43,4","45,1","16,6","16,4","16,5","20,4","19,9","20,1","4,0","7,4","14,0","32,1","61,4","20,1"
Region,Haute Matsiatra,"49,6","52,9","51,4","13,6","17,5","15,5","22,3","27,0","24,7","5,6","10,9","18,6","38,4","65,4","24,7"
Region,Amoron'i Mania,"39,1","41,9","40,5","14,7","16,6","15,7","19,1","21,4","20,3","3,9","9,2","16,5","37,3","60,4","20,3"
Region,Vatovavy Fitovinany,"38,7","35,2","36,8","11,8","9,5","10,7","15,0","12,7","13,8","6,8","9,5","16,2","33,4","52,2","13,8"
Region,Ihorombe,"32,2","31,4","32,8","8,3","8,1","8,2","13,1","12,6","12,9","2,9","6,6","16,6","29,6","50,3","12,9"
Region,Atsimo Atsinanana ,"40,0","32,4","36,1","10,7","7,4","9,0","14,5","10,5","12,4","5,5","9,5","17,4","36,9","48,0","12,4"
Region,Atsinanana,"45,7","44,1","44,8","9,4","9,4","9,4","21,1","21,9","21,5","4,6","6,9","11,8","30,4","54,9","21,5"
Region,Analanjirofo,"50,1","46,9","48,4","20,0","18,2","19,0","26,6","24,4","25,5","7,4","10,5","16,3","29,4","52,1","25,5"
Region,Alaotra Mangoro,"45,4","45,8","45,6","21,5","23,2","22,3","25,7","27,2","26,5","4,9","9,3","16,3","34,9","58,7","26,5"
Region,Boeny,"48,9","48,7","48,8","11,8","10,1","10,9","26,9","25,9","26,4","4,6","8,4","15,9","35,9","61,3","26,4"
Region,Sofia,"55,9","52,9","54,4","19,0","15,1","16,9","25,5","21,1","23,2","9,1","12,8","18,4","35,7","57,4","23,2"
Region,Betsiboka,"30,5","29,1","29,8","10,5","9,6","10,0","13,7","12,8","13,2","4,5","7,9","11,7","28,8","48,3","13,2"
Region,Melaky,"24,7","20,5","22,5","3,0","3,0","3,0","8,5","7,3","7,9","2,1","4,0","10,1","26,0","43,8","7,9"
Region,Atsimo Andrefana,"34,5","33,2","33,8","9,0","8,2","8,6","14,7","13,7","14,1","3,0","6,2","12,3","27,1","54,2","14,1"
Region,Androy,"27,9","25,0","26,4","6,4","6,7","6,6","10,3","9,9","10,1","3,6","7,4","12,9","35,7","60,2","10,1"
Region,Menabe,"42,4","39,9","41,1","8,2","7,3","7,8","15,8","14,2","14,9","3,0","4,7","11,2","32,0","58,3","14,9"
Region,Diana,"56,2","56,7","56,5","20,4","20,9","20,6","33,1","34,3","33,8","8,6","12,7","18,4","36,8","60,8","33,8"
Region,Sava,"50,4","48,9","49,6","21,7","18,9","20,3","28,2","25,8","26,9","9,0","11,8","11,6","30,5","49,0","26,9"
Region,MADAGASCAR,"47,8","47,3","47,5","17,0","16,7","16,9","24,5","24,3","24,4","4,7","8,7","15,9","33,3","59,5","24,4"
